,Convocatoria,Provincia,Municipio,Censo,Abstención,tam,AA,Ciudadanos,IU-SUMAR,Otro,PA,PARTIDOS LOCALES,PODEMOS,PP,PSOE,VOX
0,1982,Almería,ABLA,1226,395,Pequeña,0,0,5,0,6,3,0,541,264,12
1,1982,Almería,ABRUCENA,1212,527,Pequeña,0,0,96,0,8,9,0,245,322,5
2,1982,Almería,ADRA,10940,5780,Pequeña,0,0,201,0,182,47,0,1968,2567,195
3,1982,Almería,ALBANCHEZ,792,344,Pequeña,0,0,27,0,3,0,0,275,142,1
4,1982,Almería,ALBOLODUY,773,191,Pequeña,0,0,20,0,4,2,0,362,190,4
5,1982,Almería,ALBOX,6330,2813,Pequeña,0,0,326,0,135,15,0,2013,1001,27
6,1982,Almería,ALCOLEA,619,161,Pequeña,0,0,4,0,7,1,0,186,258,2
7,1982,Almería,ALCONTAR,491,211,Pequeña,0,0,5,0,0,1,0,176,96,2
8,1982,Almería,ALCUDIA DE MONTEAGUD,195,68,Pequeña,0,0,0,0,3,0,0,71,35,18
9,1982,Almería,ALHABIA,608,125,Pequeña,0,0,8,0,1,1,0,176,295,2
10,1982,Almería,ALHAMA DE ALMERIA,2024,433,Pequeña,0,0,239,0,36,3,0,269,1007,37
11,1982,Almería,ALICUN,180,37,Pequeña,0,0,2,0,2,1,0,83,53,2
12,1982,Almería,ALMERIA,94666,37621,Pequeña,0,0,2990,0,2882,225,0,19360,30425,1163
13,1982,Almería,ALMOCITA,192,89,Pequeña,0,0,3,0,0,0,0,76,22,2
14,1982,Almería,ALSODUX,114,33,Pequeña,0,0,2,0,0,0,0,47,32,0
15,1982,Almería,ANTAS,1696,772,Pequeña,0,0,20,0,19,6,0,344,532,3
16,1982,Almería,ARBOLEAS,988,375,Pequeña,0,0,14,0,16,2,0,352,227,2
17,1982,Almería,ARMUÑA DE ALMANZORA,264,80,Pequeña,0,0,4,0,0,1,0,112,63,4
18,1982,Almería,BACARES,326,134,Pequeña,0,0,9,0,1,1,0,45,135,1
19,1982,Almería,BAYARCAL,341,143,Pequeña,0,0,0,0,3,2,0,113,78,2
20,1982,Almería,BAYARQUE,217,64,Pequeña,0,0,1,0,1,0,0,60,88,3
21,1982,Almería,BEDAR,396,115,Pequeña,0,0,5,0,7,0,0,126,143,0
22,1982,Almería,BEIRES,167,51,Pequeña,0,0,0,0,0,1,0,63,51,1
23,1982,Almería,BENAHADUX,641,128,Pequeña,0,0,120,0,11,1,0,92,275,14
24,1982,Almería,BENITAGLA,107,44,Pequeña,0,0,0,0,0,0,0,33,7,23
25,1982,Almería,BENIZALON,396,228,Pequeña,0,0,2,0,2,4,0,90,69,1
26,1982,Almería,BENTARIQUE,254,69,Pequeña,0,0,4,0,1,0,0,45,134,1
27,1982,Almería,BERJA,7470,2759,Pequeña,0,0,85,0,54,70,0,1844,2576,82
28,1982,Almería,Beninar,261,150,Pequeña,0,0,0,0,6,1,0,74,29,1
29,1982,Almería,CANJAYAR,1616,525,Pequeña,0,0,48,0,12,1,0,545,480,5
30,1982,Almería,CANTORIA,2650,1029,Pequeña,0,0,106,0,24,1,0,908,560,22
